reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_id,scraped_at,content_length,fecha,hora,content_limpio,tokens,content_normalizado,tokens_normalizados,content_normalizado_final
bf98c535-055b-4a14-867b-2a7399dbfe74,Kerison Kmz Zeballos,https://play-lh.googleusercontent.com/a-/ALV-UjXsb1AJ_pCb7AcAVTFFqyoZhOAjxXkPyybLYTuWYfu9py-DqD8jyg,"lamentablemente, la verdad no puede hacer la transferencia y el codigo QR les aparece error , ya no se puede hacer cobros , la última actualización lo arruinó todo",1,3,1.1.3,2025-03-21 13:13:55,Sin comentarios,,1.1.3,com.walletapp.mobile,2025-09-28 21:05:50.892328,163,2025-03-21,13:13:55,lamentablemente verdad pues hacer transferencia código aparecer error pues hacer cobro última actualizacion arruinar,"['lamentablemente', 'transferencia', 'código', 'aparecer', 'error', 'cobro', 'actualizacion', 'arruinar']",lamentablemente transferencia código aparecer error cobro actualizacion arruinar,"['lamentablemente', 'transferencia', 'código', 'aparecer', 'error', 'cobro', 'actualizacion', 'arruinar']",lamentablemente transferencia código aparecer error cobro actualizacion arruinar
5f078b37-cb23-4535-8d4d-9984c9f75bc3,PapuShow,https://play-lh.googleusercontent.com/a-/ALV-UjVu6R4KOhFeKLvkwWWzQvx0mnDl5JqBb97oe9F-g2ZIli1kRm9P,No se puede ni crear cuenta se bugea,1,1,1.1.3,2025-03-20 20:17:53,Sin comentarios,,1.1.3,com.walletapp.mobile,2025-09-28 21:05:50.892328,36,2025-03-20,20:17:53,pues crear cuenta buega,"['crear', 'buega']",crear buega,"['registrar', 'buega']",registrar buega
d7ff7f24-36da-4481-ab13-cded89e35aa7,BYR0N.G,https://play-lh.googleusercontent.com/a-/ALV-UjUuaq3p6FsP8tuVmuX643UAPhril5yTiFhzVmCwDIVzgpZyAHY,No deja registrarse dice que el proceso ya terminó o lo está viendo segip pésimo,1,1,1.1.3,2025-03-07 12:32:34,Sin comentarios,,1.1.3,com.walletapp.mobile,2025-09-28 21:05:50.892328,80,2025-03-07,12:32:34,deja registrar dije proceso término viento serio pésimo,"['dejar', 'registrar', 'decir', 'proceso', 'término', 'viento', 'serio', 'pésimo']",dejar registrar decir proceso término viento serio pésimo,"['dejar', 'crear', 'decir', 'proceso', 'término', 'viento', 'serio', 'pésimo']",dejar crear decir proceso término viento serio pésimo
11a95f5b-4fa5-49b6-9363-7b189a1f783d,Gabriel Coca,https://play-lh.googleusercontent.com/a/ACg8ocJCc1jc1wnwIjCCea3fjCflzFjwMCyL09kh0MCx1DlCezz1Mw=mo,Sigo con el mismo problema no me deja registrarme sigue con q está en proceso de afiliación o afiliación en revisión,1,0,Desconocido,2025-03-01 15:26:37,Sin comentarios,,Desconocido,com.walletapp.mobile,2025-09-28 21:05:50.892328,116,2025-03-01,15:26:37,sino mismo problema deja registrar sigua proceso afiliación afiliación revisión,"['problema', 'dejar', 'registrar', 'sigua', 'proceso', 'afiliación', 'afiliación', 'revisión']",problema dejar registrar sigua proceso afiliación afiliación revisión,"['problema', 'dejar', 'crear', 'sigua', 'proceso', 'afiliación', 'afiliación', 'revisión']",problema dejar crear sigua proceso afiliación afiliación revisión
933d68e6-ac09-4f81-8f8e-2dc007604faf,Gabriel Coca,https://play-lh.googleusercontent.com/a/ACg8ocL4hvU4DI8LIm4SCDd4egYdTear0HKW8F5lz07f9O3SokqZRQ=mo,Sigo sin poder registrarme me dice q está en proceso y nada,1,0,1.1.2,2025-02-28 15:56:38,Sin comentarios,,1.1.2,com.walletapp.mobile,2025-09-28 21:05:50.892328,59,2025-02-28,15:56:38,sino poder registrar dije proceso,"['registrar', 'decir', 'proceso']",registrar decir proceso,"['crear', 'decir', 'proceso']",crear decir proceso
67bbe955-94de-4f5c-a2e3-587524938dab,Adelaida Rodriguez,https://play-lh.googleusercontent.com/a/ACg8ocL8KM4SYY9k1payPEHO6HXYox_gM2dC-xtfnzILsx8tfZg-jQ=mo,"No pude llenar los datos de verificación, me salía que los datos eran erróneos",1,1,Desconocido,2025-02-28 15:55:31,Sin comentarios,,Desconocido,com.walletapp.mobile,2025-09-28 21:05:50.892328,78,2025-02-28,15:55:31,pudú llenar dato verificación salia dato erróneo,"['pudú', 'llenar', 'dato', 'verificación', 'salio', 'dato', 'erróneo']",pudú llenar dato verificación salio dato erróneo,"['pudú', 'llenar', 'dato', 'verificación', 'salio', 'dato', 'erróneo']",pudú llenar dato verificación salio dato erróneo
28ac56b6-3514-4d1a-90fb-1f61de45e762,Gonzalo Erick Jr Hinostroza Padilla,https://play-lh.googleusercontent.com/a-/ALV-UjUwLXxgcUz-XEN6wlwOI0s2n-NPJLgc3fs4SYd7oKN6MIk3OHk,La aplicación está mejorando,5,0,1.1.2,2025-02-16 22:00:01,Sin comentarios,,1.1.2,com.walletapp.mobile,2025-09-28 21:05:50.892328,28,2025-02-16,22:00:01,aplicación memorando,"['aplicación', 'memorar']",aplicación memorar,"['aplicación', 'memorar']",aplicación memorar
a6d43d9a-87cc-46b1-a708-dfe5975167cf,Orlando cesar Teran quevedo,https://play-lh.googleusercontent.com/a-/ALV-UjVLfWIpTC61vNXKc4QcJ9BqN6QtsKnQnnlLMyt4oxWkuZrX88rc,Excelente muy rápida,5,0,1.1.2,2025-02-11 13:41:50,Sin comentarios,,1.1.2,com.walletapp.mobile,2025-09-28 21:05:50.892328,20,2025-02-11,13:41:50,excelente rápida,"['excelente', 'rápido']",excelente rápido,"['excelente', 'rápido']",excelente rápido
ca9724d4-7ead-4846-8e2f-c90afbb25d98,Sebástian Lopez,https://play-lh.googleusercontent.com/a-/ALV-UjUhhVD537vz2iqzkactjEgxiOKFqw2-y8wFZBNXKM5ZerBHnLva,No puedo registrarme :c,1,1,1.1.2,2025-02-11 07:36:19,Sin comentarios,,1.1.2,com.walletapp.mobile,2025-09-28 21:05:50.892328,23,2025-02-11,07:36:19,quedo registrar,"['quedar', 'registrar']",quedar registrar,"['funcionar', 'crear']",funcionar crear
8adb3a0a-1489-4c15-9473-288e882d189b,GONZALO MARCELO TEJEDA CAMACHO,https://play-lh.googleusercontent.com/a-/ALV-UjUWWv9lSLi_JfTMxCY0inMcYZFZP3Y7JtztJ8M-In-HxvBMp41j,"Háganlo superapp que puedas comprar lo que quieras desde la app, y se pueda pagar más servicios",5,3,1.1.1,2025-02-10 18:02:42,Sin comentarios,,1.1.1,com.walletapp.mobile,2025-09-28 21:05:50.892328,95,2025-02-10,18:02:42,pagano superar pues comprar fueras a queda pagar mas servicio,"['pagano', 'superar', 'comprar', 'fuera', 'quedar', 'pagar', 'servicio']",pagano superar comprar fuera quedar pagar servicio,"['pagano', 'superar', 'comprar', 'fuera', 'funcionar', 'pagar', 'servicio']",pagano superar comprar fuera funcionar pagar servicio
